industry,best_short,best_long,train_score_sharpe_median,train_outperform_ratio
ETF,40,60,0.3073573270617201,0.2222222222222222
光電業,5,20,0.3072553830212365,0.8828828828828829
其他,10,20,0.3584267559085028,0.6781609195402298
其他電子業,10,20,0.43190740067878586,0.6111111111111112
其他電子類,5,20,0.3854978153498171,0.6666666666666666
化學工業,10,20,0.4339958059894897,0.6363636363636364
化學生技醫療,10,20,0.38070000497537276,0.7727272727272727
半導體業,10,20,0.43586994891354497,0.7748344370860927
塑膠工業,10,20,0.5071650708529309,0.8333333333333334
存託憑證,5,20,0.47112022462412445,1.0
居家生活,5,20,0.4004174442985171,0.7142857142857143
居家生活類,20,60,0.5361774387245556,0.46153846153846156
建材營造,10,20,0.39115944183544565,0.611764705882353
數位雲端,10,120,0.44206437829696066,0.75
數位雲端類,30,200,0.35560127236880806,0.7777777777777778
文化創意業,5,20,0.4324408723416873,0.8333333333333334
橡膠工業,40,200,0.3811593054606137,0.4166666666666667
水泥工業,10,20,0.4044309704568098,0.5714285714285714
汽車工業,10,20,0.580457788145873,0.8125
油電燃氣業,30,120,0.6153797313540412,0.08333333333333333
玻璃陶瓷,10,20,0.28873669532367635,1.0
生技醫療業,10,20,0.37243570539324056,0.6973684210526315
紡織纖維,10,20,0.3778634813261475,0.6530612244897959
綠能環保,5,20,0.5221538851636578,0.5555555555555556
綠能環保類,20,60,0.2230301995156814,0.7
航運業,5,20,0.16364084181493269,0.6923076923076923
觀光事業,30,120,0.8950241132378915,1.0
觀光餐旅,10,20,0.165823874455908,0.8205128205128205
貿易百貨,10,20,0.30694523073232327,0.8823529411764706
資訊服務業,10,20,0.3971058423944112,0.6060606060606061
農業科技業,40,200,0.16175642291506234,0.6666666666666666
通信網路業,10,20,0.36868844747638685,0.75
造紙工業,5,20,0.5243797261553944,0.8571428571428571
運動休閒,10,20,0.5837506251996685,0.6153846153846154
運動休閒類,10,20,0.4853395409601603,0.75
金融保險,30,200,0.5126313277263875,0.34285714285714286
金融業,10,20,0.5110468556615075,0.7777777777777778
鋼鐵工業,5,20,0.40173565572152975,0.5869565217391305
電器電纜,5,20,0.3246462230552013,0.75
電子工業,10,20,0.23732054766641134,1.0
電子通路業,10,20,0.39148193207090776,0.5588235294117647
電子零組件業,10,20,0.42923334002083485,0.7513227513227513
電機機械,10,20,0.4673645451330072,0.7195121951219512
電腦及週邊設備業,5,20,0.3766854074914339,0.7227722772277227
食品工業,10,20,0.6022491220263385,0.5517241379310345
