industry,best_short,best_long,train_score_sharpe_median,train_outperform_ratio,tie_break_rule
ETF,40,200,0.2760660187313089,0.2222222222222222,score
光電業,5,20,0.18834299081200864,0.8198198198198198,score
其他,10,20,0.24400622913356598,0.5287356321839081,score
其他電子業,40,200,0.33287555012307884,0.4444444444444444,score
其他電子類,10,60,0.28634962515304696,0.5897435897435898,score
化學工業,20,120,0.30234677034015667,0.5454545454545454,score
化學生技醫療,10,20,0.26988392742927103,0.5909090909090909,score
半導體業,10,20,0.3372683266879727,0.6887417218543046,score
塑膠工業,10,20,0.38122836668251137,0.6666666666666666,score
存託憑證,5,20,0.3265282903561762,1.0,score
居家生活,5,20,0.26115583950858356,0.42857142857142855,score
居家生活類,20,60,0.5063357168432654,0.38461538461538464,score
建材營造,10,20,0.25994283356071807,0.4588235294117647,score
數位雲端,10,120,0.43454256731980423,0.75,score
數位雲端類,30,200,0.3498588687398622,0.5555555555555556,score
文化創意業,5,20,0.31629111003906873,0.75,score
橡膠工業,40,200,0.3552809079977054,0.4166666666666667,score
水泥工業,40,200,0.3557193917199491,0.2857142857142857,score
汽車工業,10,20,0.4655027392272103,0.71875,score
油電燃氣業,30,120,0.5922752286260777,0.0,score
玻璃陶瓷,10,20,0.1718536893947261,0.6,score
生技醫療業,10,20,0.2598570230539822,0.618421052631579,score
紡織纖維,10,20,0.24224464962175682,0.42857142857142855,score
綠能環保,5,20,0.40344515209042137,0.4444444444444444,score
綠能環保類,20,60,0.18706477551815728,0.6,score
航運業,30,60,0.040890783009627396,0.38461538461538464,score
觀光事業,30,120,0.8850408481899913,1.0,score
觀光餐旅,10,20,0.060983834143863984,0.717948717948718,score
貿易百貨,10,20,0.11707908360695367,0.6470588235294118,score
資訊服務業,10,20,0.2914456150894542,0.6060606060606061,score
農業科技業,40,200,0.1472004096606315,0.6666666666666666,score
通信網路業,10,20,0.2521839831112428,0.6666666666666666,score
造紙工業,20,120,0.4695942738382261,0.42857142857142855,score
運動休閒,10,20,0.5068878158902574,0.46153846153846156,score
運動休閒類,10,20,0.3761568273524698,0.625,score
金融保險,30,200,0.5023164881777552,0.3142857142857143,score
金融業,10,20,0.3298423682476494,0.6666666666666666,score
鋼鐵工業,30,200,0.2911194394846384,0.5,score
電器電纜,10,120,0.1855219558710227,0.6875,score
電子工業,10,20,0.1386794677370201,0.8461538461538461,score
電子通路業,10,60,0.30047948100234806,0.4117647058823529,score
電子零組件業,10,20,0.32762804529613265,0.6613756613756614,score
電機機械,10,20,0.3388110519067241,0.5609756097560976,score
電腦及週邊設備業,10,20,0.25439486965712965,0.693069306930693,score
食品工業,10,20,0.48913007494385846,0.5172413793103449,score
