industry,n_stocks,applicability_2010-2014,applicability_2015-2019,applicability_2020-2025
ETF,9,0.2222222222222222,0.0,0.0
光電業,111,0.8666666666666667,0.6576576576576577,0.42342342342342343
其他,87,0.55,0.5057471264367817,0.42528735632183906
其他電子業,36,0.5428571428571428,0.4166666666666667,0.25
其他電子類,39,0.6111111111111112,0.48717948717948717,0.3076923076923077
化學工業,11,0.7272727272727273,0.45454545454545453,0.2727272727272727
化學生技醫療,66,0.6271186440677966,0.5454545454545454,0.4393939393939394
半導體業,151,0.6830985915492958,0.5496688741721855,0.304635761589404
塑膠工業,24,0.7916666666666666,0.4583333333333333,0.4166666666666667
存託憑證,5,1.0,0.8,1.0
居家生活,7,0.6666666666666666,0.42857142857142855,0.2857142857142857
居家生活類,13,0.4166666666666667,0.6153846153846154,0.3076923076923077
建材營造,85,0.5,0.47058823529411764,0.3411764705882353
數位雲端,4,0.6666666666666666,0.5,0.5
數位雲端類,9,0.5714285714285714,0.7777777777777778,0.4444444444444444
文化創意業,24,0.6363636363636364,0.7083333333333334,0.5416666666666666
橡膠工業,12,0.36363636363636365,0.4166666666666667,0.5
水泥工業,7,0.42857142857142855,0.0,0.2857142857142857
汽車工業,32,0.6785714285714286,0.6875,0.46875
油電燃氣業,12,0.0,0.08333333333333333,0.4166666666666667
玻璃陶瓷,5,1.0,0.4,0.2
生技醫療業,76,0.5942028985507246,0.631578947368421,0.4605263157894737
紡織纖維,49,0.5,0.5510204081632653,0.3673469387755102
綠能環保,9,0.6,0.5555555555555556,0.2222222222222222
綠能環保類,10,0.6,0.5,0.1
航運業,26,0.46153846153846156,0.6153846153846154,0.46153846153846156
觀光事業,1,,1.0,0.0
觀光餐旅,39,0.7714285714285715,0.6153846153846154,0.6153846153846154
貿易百貨,17,0.8125,0.6470588235294118,0.5294117647058824
資訊服務業,33,0.6875,0.3939393939393939,0.21212121212121213
農業科技業,3,0.0,1.0,0.3333333333333333
通信網路業,84,0.675,0.6785714285714286,0.38095238095238093
造紙工業,7,0.5714285714285714,0.2857142857142857,0.42857142857142855
運動休閒,13,0.36363636363636365,0.6153846153846154,0.38461538461538464
運動休閒類,8,0.625,0.625,0.375
金融保險,35,0.3142857142857143,0.42857142857142855,0.11428571428571428
金融業,9,0.8888888888888888,0.1111111111111111,0.3333333333333333
鋼鐵工業,46,0.5555555555555556,0.391304347826087,0.43478260869565216
電器電纜,16,0.8125,0.3125,0.25
電子工業,13,0.9230769230769231,0.7692307692307693,0.7692307692307693
電子通路業,34,0.5882352941176471,0.38235294117647056,0.23529411764705882
電子零組件業,189,0.7021276595744681,0.5978835978835979,0.328042328042328
電機機械,82,0.5131578947368421,0.6219512195121951,0.4146341463414634
電腦及週邊設備業,101,0.6288659793814433,0.5544554455445545,0.26732673267326734
食品工業,29,0.4642857142857143,0.3793103448275862,0.3448275862068966
